,target
0,-9.000414135732171
1,-11.971456539832616
2,0.8346906636570566
3,-14.410805781973067
4,-13.551744071105531
5,-13.519379433048925
6,1.214378082156145
7,1.2163226464099353
8,-12.935346256866069
9,-13.551744071105531
10,-13.511124752382784
11,1.2163226464099353
12,-13.551744071105531
13,1.2486872844665413
14,-13.551744071105531
15,1.8567176547830968
16,-13.543527987124435
17,1.8010150411164432
18,-12.959401287994297
19,-12.926636999397488
20,1.7933791457207917
21,-13.551744071105531
22,1.2379960823955116
23,1.214378082156145
24,-13.551744071105531
25,-13.511124752382784
26,-13.553688635359322
27,1.3775839864565569
28,1.2569419651326825
29,-7.133177584702025
30,1.2163226464099353
31,-13.541310940906442
32,1.2379960823955116
33,-7.133177584702025
34,-13.551744071105531
35,-13.553688635359322
36,1.2163226464099353
37,-13.511124752382784
38,-13.551744071105531
39,-13.551744071105531
40,1.2163226464099353
41,1.214378082156145
42,-13.371792301896676
43,-13.036618534050831
44,-13.551744071105531
45,-13.551744071105531
46,-7.133177584702025
47,-13.519379433048925
48,-7.133177584702025
49,-13.551744071105531
50,1.3775839864565569
51,-13.551744071105531
52,-7.133177584702025
53,-13.551744071105531
54,1.214378082156145
55,-13.551744071105531
56,1.214378082156145
57,-13.551744071105531
58,1.214378082156145
59,1.249174397605202
60,-13.553688635359322
61,-7.133177584702025
62,1.249174397605202
63,1.2379960823955116
64,-13.519379433048925
65,1.2163226464099353
66,-13.551744071105531
67,-13.551744071105531
68,-13.551744071105531
69,1.2163226464099353
70,-13.551744071105531
71,1.2486872844665413
72,1.2163226464099353
73,-7.133177584702025
74,1.2163226464099353
75,-13.551744071105531
76,-13.543527987124435
77,-13.551744071105531
78,1.8491996031689268
79,1.3775839864565569
80,-13.074146246578493
81,-13.551744071105531
82,1.3775839864565569
83,-7.133177584702025
84,-13.551744071105531
85,-13.551744071105531
86,2.0554640567597744
87,1.214378082156145
88,-13.551744071105531
89,1.8140300314871638
90,1.2163226464099353
91,1.214378082156145
92,1.7817780409559418
93,1.8010150411164432
94,-13.371792301896676
95,1.2163226464099353
96,1.224538730391032
97,-13.553688635359322
98,-13.519379433048925
99,-7.133177584702025
100,1.2163226464099353
101,1.7883623423285826
102,-13.551744071105531
103,-13.519379433048925
104,1.2163226464099353
105,-13.511124752382784
106,-12.959401287994297
107,-13.551744071105531
108,1.2163226464099353
109,1.2163226464099353
110,-13.553688635359322
111,1.2569419651326825
112,-13.551744071105531
113,1.2163226464099353
114,1.8136888129401996
115,1.214378082156145
116,-13.551744071105531
117,-7.133177584702025
118,-7.133177584702025
119,-13.551744071105531
120,1.8140300314871638
121,1.8567176547830968
122,-13.551744071105531
123,-13.551744071105531
124,-13.551744071105531
125,-13.511124752382784
126,1.2569419651326825
127,1.2651508763583479
128,-13.553688635359322
129,-13.551744071105531
130,-13.518892319910265
131,1.2569419651326825
132,-13.359899946616679
133,-13.551744071105531
134,-13.551744071105531
135,1.2486872844665413
136,1.214378082156145
137,-13.551744071105531
138,1.7933791457207917
139,2.1610111160871384
140,1.2163226464099353
141,-13.553688635359322
142,-13.551744071105531
143,2.2659714604114924
144,-13.551744071105531
145,-13.022739797056602
146,1.2163226464099353
147,-7.133177584702025
148,-13.543527987124435
149,-7.133177584702025
150,1.2163226464099353
151,-13.551744071105531
152,1.2486872844665413
153,-7.133177584702025
154,-13.551744071105531
155,1.249174397605202
156,-13.553688635359322
157,-13.551744071105531
158,-13.135045293992334
159,-7.133177584702025
160,1.3775839864565569
161,-13.518892319910265
162,1.2163226464099353
163,1.2163226464099353
164,1.2486872844665413
165,1.249174397605202
166,-13.518892319910265
167,-7.133177584702025
168,1.214378082156145
169,1.249174397605202
170,1.2163226464099353
171,1.2163226464099353
172,-7.133177584702025
173,-13.553688635359322
174,1.8010150411164432
175,-13.553688635359322
176,-13.553688635359322
177,-7.133177584702025
178,-13.551744071105531
179,-13.518892319910265
180,-13.553688635359322
181,1.2163226464099353
182,-12.959401287994297
183,1.2163226464099353
184,1.7795004087265625
185,1.2163226464099353
186,-13.551744071105531
187,-13.551744071105531
188,-13.551744071105531
189,1.2163226464099353
190,-13.551744071105531
191,1.2163226464099353
192,1.2163226464099353
193,-13.551744071105531
194,-13.551744071105531
195,1.3775839864565569
196,1.2569419651326825
197,-13.01510390166095
198,-13.551744071105531
199,1.2163226464099353
200,-7.570346565322325
201,-8.153423556903363
202,5.72012309528327
203,-7.111127562233378
204,-7.081249722856228
205,-7.050265696010683
206,5.71817853102948
207,5.691302673125392
208,-6.379603213770679
209,-7.086902487959378
210,-7.042011015344542
211,-7.111127562233378
212,-7.081249722856228
213,5.752487733339876
214,-7.082630334067289
215,6.389446526989559
216,-7.113072126487168
217,6.376431536618838
218,-6.824758516269867
219,-6.360911227204269
220,5.953000481958952
221,-7.084957923705588
222,5.754815322978175
223,5.691302673125392
224,-7.081249722856228
225,-7.070508243510631
226,-7.086902487959378
227,5.92128284006867
228,5.752974846478537
229,5.720506120667778
230,5.72012309528327
231,-7.083648688270841
232,5.723667311181998
233,-2.7454269113040937
234,-7.084957923705588
235,-7.113072126487168
236,5.72383129613263
237,-7.040630404133481
238,-7.081249722856228
239,-7.082630334067289
240,5.72383129613263
241,5.71817853102948
242,-6.824758516269867
243,-6.470795103721684
244,-7.083577312494526
245,-7.084957923705588
246,-2.754791110575752
247,-7.052106172510321
248,-2.7454269113040937
249,-7.111127562233378
250,5.92128284006867
251,-7.078762924176772
252,5.71817853102948
253,-7.084957923705588
254,-2.7430993216657953
255,-7.084957923705588
256,5.720506120667778
257,-7.082630334067289
258,-2.754791110575752
259,5.72383129613263
260,-7.111127562233378
261,-2.7454269113040937
262,5.752974846478537
263,5.730541380637078
264,-7.078762924176772
265,5.72188673187884
266,-7.081249722856228
267,-7.086902487959378
268,-7.082630334067289
269,5.752974846478537
270,-7.082630334067289
271,5.731921991848139
272,5.72383129613263
273,-7.081249722856228
274,5.72012309528327
275,-7.084957923705588
276,-7.102911478252281
277,-7.083577312494526
278,6.290616269345264
279,5.953000481958952
280,-6.484673840715914
281,-7.0753612285134295
282,6.376431536618838
283,-2.754791110575752
284,-7.083577312494526
285,-7.111127562233378
286,6.255670792210367
287,5.71817853102948
288,-7.112508173444439
289,6.357728885099277
290,5.689358108871602
291,5.719559142240541
292,6.255906856886213
293,6.343333283517495
294,-6.824758516269867
295,5.72383129613263
296,5.699518757106489
297,-7.085521876748317
298,-7.0443386049828405
299,-7.086902487959378
300,5.691302673125392
301,6.369636062407153
302,-7.082630334067289
303,-7.050265696010683
304,5.689922061914331
305,-7.0443386049828405
306,-6.412367502367488
307,-7.111127562233378
308,5.72012309528327
309,5.722450684921569
310,-7.08457489832108
311,5.731921991848139
312,-7.084957923705588
